%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1774712714591171026,8901,1774712714591171026,map,108,10.816147220963412,-2.752789315940696e-16,0.009014121628975452,0.0,0.0,0.7321033686638412,0.6811935536916478,5.394816903430146,0.09467411312300189,-3.840050592528124e-05,0.0,0.0,0.0
1774712714611195087,8902,1774712714611195087,map,109,10.924061194337016,-7.752045533271357e-16,0.009012922448869101,0.0,0.0,0.7200122941543021,0.6939613074708552,5.364748519610413,0.09534888296623875,-0.00013570622162493008,0.0,0.0,0.0
1774712714631206989,8903,1774712714631206989,map,110,11.031373806122934,5.377642775528102e-16,0.009009897105012852,0.0,0.0,0.7075428496323197,0.7066704436540251,5.338153043623629,0.09596098457428992,-0.00018852518820168673,0.0,0.0,0.0
1774712714651245117,8904,1774712714651245117,map,111,11.138154638585751,-1.9212062496443139e-16,0.009006323118386355,0.0,0.0,0.6947013896708208,0.7192982546825971,5.312919134573695,0.096580538912863,-0.00015994659701815706,0.0,0.0,0.0
1774712714671225547,8905,1774712714671225547,map,112,11.244430646269215,-5.2909066017292616e-17,0.009003767453067161,0.0,0.0,0.6814950589192127,0.7318227139606278,5.29214337892599,0.09701186146419394,-8.203190463433004e-05,0.0,0.0,0.0
1774712714691205263,8906,1774712714691205263,map,113,11.350291039249639,-2.3418766925686896e-17,0.009003285450628097,0.0,0.0,0.6679471228818215,0.7442087348546085,5.2727926286613656,0.09743611343354841,4.065009693433476e-05,0.0,0.0,0.0
1774712714711175918,8907,1774712714711175918,map,115,11.455788849168645,-0.0016650736664348678,0.009006033086410481,0.0,0.0,0.6540664130207879,0.7564371271679624,5.250765407014406,0.2940862756980507,0.00022416628700518964,0.0,0.0,0.0
1774712714731272935,8908,1774712714731272935,map,116,11.560966422775968,-0.0014765965460166704,0.009012714255781875,0.0,0.0,0.6398628146855158,0.768489153067712,5.239213132691037,0.2945111996623965,0.00041403267176507943,0.0,0.0,0.0
1774712714751187562,8909,1774712714751187562,map,117,11.66591341930004,-0.0012926952862949998,0.00902227720408274,0.0,0.0,0.625376094420887,0.780323484541429,5.231168699976427,0.29451774012261245,0.0005159076378773151,0.0,0.0,0.0
1774712714771320343,8910,1774712714771320343,map,118,11.770699358247684,-0.0011120484243864843,0.009031380432315673,0.0,0.0,0.6106397330386433,0.7919085278202872,5.227668521979784,0.29415782861264606,0.0004250693585237303,0.0,0.0,0.0
